,,,Dollars,Dollars,90th,90th
,,,sum,count,sum,count
James Potter,CT,yes,153.0,3,135.0,3
James Shaw,MD,yes,19.0,2,20.0,1
James Stewart,SC,yes,1786.0,6,131.0,4
James Taylor,VA,yes,102.0,3,96.0,2
James Thomas,RI,no,24.0,2,96.0,2
James Thompson,NC,no,8433.0,17,730.0,12
James Watson,NC,yes,3989.0,2,5,1
James White,NC,yes,214.0,4,87,1
James Williams,MA,no,44.0,1,22.0,1
James Wilson,Constitution,yes,1135.0,18,603.0,10
Jedediah Huntington,CT,yes,294.0,1,84.0,1
Jeremiah Wadsworth,CT,yes,22.0,1,45.0,1
Jesse Woodhull,NY,yes,4880.0,4,0,0
John  Allen,VA,yes,417.0,11,223.0,6
John  Whittlesey,CT,yes,3.0,1,67.0,1
John A. Campbell,NC,no,797.0,8,131.0,4
John Allen,NC,yes,417.0,11,223.0,6
John Allison,PA,yes,32.0,2,39.0,2
John Anderson,NC,yes,338.0,4,165,3
John Ashley,MA,yes,62.0,1,0,0
John Baird,PA,no,70.0,1,0,0
John Baker,NC,yes,185.0,5,89.0,2
John Bay,NY,no,291.0,2,100,2
John Beach,CT,yes,979.0,3,90.0,2
John Bishop,PA,no,1373.0,10,175.0,6
John Black,PA,yes,603.0,6,138.0,4
John Blair,Constitution,yes,139.0,2,0,0
John Blake,SC,yes,827.0,3,177,3
John Boyd,PA,yes,96.0,1,0,0
John Brooks,MA,yes,232.0,5,60.0,1
John Brown,NC,no,1204.0,13,379.0,10
John Cantine,NY,no,32.0,2,67,2
John Carson,NC,yes,1283.0,6,202.0,6
John Chandler,CT,yes,646.0,3,172.0,3
John Chesnut,SC,yes,8.0,2,44.0,2
John Chester,CT,yes,50.0,2,60.0,2
John Chetwood,NJ,yes,3139.0,1,46.0,1
John Cochran,NH,no,158.0,4,111.0,4
John Coffin Jones,MA,yes,34.0,1,30.0,1
John Collins,SC,yes,91.0,1,43,1
John Cook,SC,no,5138.0,6,144.0,5
John Curtiss,CT,yes,201.0,3,45.0,1
"John Davenport, Jun.",CT,yes,40.0,4,173.0,4
John Davis,MA,yes,2166.0,10,512.0,10
John Dickinson,Constitution,yes,73.0,2,67.0,2
John Dunlap,MA,yes,1135.0,4,74.0,2
John Easton,NC,yes,65.0,2,0,0
John Edwards,SC,yes,26.0,2,60.0,1
John Evans,VA,no,724.0,6,129.0,5
John Fell,NJ,yes,26.0,1,84.0,1
John Frey,NY,no,35.0,1,0,0
John Gale,MD,yes,2384.0,7,163,5
John Glaze,SC,yes,56.0,3,139.0,3
John Glover,MA,yes,38.0,1,72.0,1
John Hall,NC,yes,1768.0,13,438.0,11
John Hamilton,MA,no,102.0,3,93.0,3
John Hampton,SC,no,2551.0,2,94.0,2
John Hancock,MA,yes,40.0,1,0,0
John Hannum,PA,yes,25.0,1,0,0
John Haring,NY,no,1190.0,1,0,0
John Harris,PA,no,169.0,3,125.0,3
John Hay,NC,yes,135.0,2,42.0,2
John Holbrook,CT,yes,25.0,1,38.0,1
John Hunt,NC,yes,731.0,8,270.0,7
John Jay,NY,yes,1.0,1,22/8,1
John Johnston,NC,yes,1058.0,11,422.0,9
John Jones,DE,yes,1366.0,24,819.0,19
John K. Smith,MA,yes,6192.0,62,1853.0,51
John Kean,SC,yes,12.0,1,54.0,1
John King,GA,yes,1672.0,27,1397.0,25
John Langdon,Constitution,yes,67.0,4,128.0,3
John Lansing Jr.,Constitution,no,11.0,1,22,1
John Lloyd,SC,yes,2348.0,3,172.0,3
John Logan,VA,no,289.0,4,181.0,4
John Love,MD,no,257.0,5,234.0,5
John Marshall,VA,yes,1.0,1,22.0,1
John McPherson,SC,yes,360.0,1,0,0
John Miller,VA,no,4094.0,26,808.0,19
John Montgomery,SC,no,54.0,4,64.0,4
John Moore,NC,yes,616.0,13,484.0,11
John Nevill,PA,yes,776.0,2,0,0
John Palmer,SC,yes,643.0,2,13,1
John Parker,SC,yes,136.0,3,128.0,3
John Phelps,CT,yes,5.0,1,0,0
John Pratt,MA,no,0.0,0,0,0
John Pride,VA,no,15.0,1,4,1
John Reynolds,PA,no,674.0,6,249.0,5
John Richards,PA,yes,11.0,2,38.0,2
John Scott,NC,no,81.0,4,142.0,3
John Simmons,SC,yes,7.0,1,33,1
John Skinner,NC,yes,5.0,1,0,0
John Smith,NY,yes,6192.0,62,1853.0,51
John Sprague,MA,yes,5.0,1,0,0
John Stevens,NJ,yes,3459.0,9,409.0,7
John Stewart,MD,yes,2949.0,10,428.0,9
John Stokes,NC,yes,50.0,1,0,0
John Swan,NC,yes,8.0,1,0,0
John Taylor,MA,no,3104.0,16,500.0,12
John Thomas,SC,yes,647.0,5,111.0,3
John Thompson,NC,yes,1329.0,17,470.0,12
John Turner,MA,yes,449.0,3,80.0,2
John Wallace,NC,yes,0.0,0,0,0
John Watson,CT,yes,679.0,4,105.0,3
John Whitehill,PA,no,4.0,1,60.0,1
John Williams,VA,yes,1400.0,14,436.0,11
John Willis,NC,yes,248.0,1,0,0
John Wilson,VA,no,0.0,0,0,0
John Winn,NY,no,255.0,1,84,1
John Wood,NY,no,613.0,5,152.0,4
Jonathan Dayton,Constitution,yes,4551.0,6,150.0,4
Jonathan Freeman,NH,yes,1632.0,2,0,0
Jonathan Roberts,PA,yes,23.0,1,68.0,1
Jonathan Smith,MA,no,32.0,2,102.0,2
Joseph Barker,DE,yes,122.0,8,301.0,8
Joseph Brown,SC,no,628.0,9,346.0,8
Joseph Heister,PA,no,59.0,1,4.0,1
Joseph Hopkins,CT,yes,275.0,2,101,2
Joseph Jackson,MA,yes,554.0,4,91.0,2
Joseph Jones,VA,no,570.0,5,168.0,3
Joseph Martin,NC,yes,8.0,1,0,0
Joseph Mosely,CT,yes,10.0,1,0,0
Joseph Palmer,MA,yes,211.0,2,22.0,1
Joseph Stone,MA,no,5.0,1,0,0
Joseph Wood,MA,yes,220.0,5,200.0,4
Joshua Whitney,MA,no,105.0,2,7.0,1
Ladd William,RI,yes,1.0,1,22.0,1
Lewis Morris,NY,yes,58.0,2,96.0,2
Luther Martin,Constitution,no,24.0,1,27.0,1
Manchester Isaac,RI,yes,34.0,1,59.0,2
Matthew Patterson,CT,no,117.0,2,104,2
Melancton Smith,NY,yes,968.0,2,102,2
Miller Nathan,RI,did not vote,44.0,1,0,0
Moses Davis,MA,yes,738.0,2,103.0,2
Nathan Hale,CT,yes,110.0,1,0,0
Nicholas Lutz,PA,no,72.0,2,11.0,1
Pearce Samuel,RI,yes,4.0,1,20.0,1
Peter Lefferts,NY,yes,514.0,2,93.0,2
Peter Smith,SC,yes,223.0,6,286.0,5
Peter Van Ness,NY,no,2010.0,1,45,1
Peter Vandevoort,NY,yes,38.0,1,67.0,1
Peter Vrooman,NY,did not vote,85.0,1,80,1
