,Full Name,state,Total
181,Antoine Rene Charter Mathurin de la Forest,PA,6771.75
182,Appha Loomis,CT,1031.53
183,Archibald Crary,RI,451.58
184,Archibald Engle,PA,290.94
185,Archibald Golder,MD,164.36
186,Archibald Gracie,NC,58.69
187,Archibald Harvey,SC,11.49
188,Archibald Hervey,GA,33.8406
189,Archibald Monereiff,MD,199.28
190,Archibald Munro,RI,70.58
191,Archibald Stewart,RI,216.44
192,Ariana Walter,MD,176.84
193,Ariel Laurance,CT,78.42
194,Aron Lanham,MD,97.14
195,Arthur Harper,SC,100.0
196,Asa Franklin transfer from Register,RI,375.0
197,Asa Hopkins,CT,11.44
198,Asa Leonard,RI,161.42
199,Asa Martin,RI,722.04
200,Asa Platt,CT,133.31
201,Asahel Carpenter,RI,15.0
202,Ashbel King,CT,146.66
203,Asher Robbins,RI,215.68
204,Asiel Meraman,CT,824.83
205,Assheton Humphreys,PA,87.08
206,Augustine Davies,VA,2188.91
207,Augustine Webb,VA,295.69
208,Augustus Blanchard,NH,177.36
209,Bale Randall,MD,313.17
210,Bank of Providence,RI,360.0
211,Barbara Jones,VA,1717.99
212,Barbara Sivert,PA,62.08
213,Barclay',MD,1330.16
214,Bartholomew Terrason,PA,221.07
215,Bartholomew Wister,PA,3292.1
216,Basil Holmes,VA,1966.4
217,Basler Geehr,PA,3353.75
218,Bassett Stith,NC,493.8
219,Bathsheba Perow,CT,53.28
220,Batt Peterson,VA,150.05
221,Battaile Muse,VA,194.44
222,Bazile Lanneau,SC,566.24
223,Benajah Kent,CT,20.0
224,Benjamin Barton,RI,8.58
225,Benjamin Boardman,CT,77.94
226,Benjamin Bosworth,RI,845.82
227,Benjamin Bourn,RI,62.14
228,Benjamin Bowen,RI,44.05
229,Benjamin Brown transfer from register,RI,273.39
230,Benjamin Case,CT,149.29
231,Benjamin Crapon,RI,33.91
232,Benjamin Dankford,VA,11.7
233,Benjamin Duvall,MD,304.63
234,Benjamin Ellery,RI,92.16
235,Benjamin Gallup,CT,74.14
236,Benjamin Gorton,RI,87.67
237,Benjamin Greene,RI,280.65
238,Benjamin Hobbs,NH,2398.22
239,Benjamin Hoxsie,RI,104.8
240,Benjamin Isaacs,CT,44.95
241,Benjamin Leacraft,SC,25.0
242,Benjamin Mann,RI,2511.2
243,Benjamin McCulloch,VA,3234.33
244,Benjamin Pepoon,SC,399.94
245,Benjamin Richmond,RI,340.8
246,Benjamin Russell,SC,56.03
247,Benjamin Shepherd,VA,76.67
248,Benjamin Stelle,RI,415.0
249,Benjamin Stelle No 9201,RI,10.1
250,Benjamin Stewart,VA,36.11
251,Benjamin Tillinghast,RI,23.12
252,Benjamin Whipple,RI,147.3
253,Benjamin Wilkinson,RI,6035.76
254,Benjamin Williams,RI,1029.23
255,Benjamin Winslow,VA,179.94
256,Beriah Brown,RI,50.06
257,Beriah Curtis,RI,113.0
258,Bernard Markham,VA,931.8
259,Bernard',PA,860.0
260,Berry',NY,29051.15
261,Bethiah Jencks transfer from register,RI,413.55
262,Bethiah Randall,RI,201.64
263,Betsey Burr,RI,165.24
264,Betty Wright,NC,48.93
265,Bezaleel Fisk,CT,450.84
266,Billings Coggeshall,RI,1876.36
267,Bodo Otto,PA,2703.34
268,Bourne Price,VA,149.8
269,Brown',RI,720.0
270,Budd Pryor,PA,1477.14
271,Bull',CT,45.83
272,Burton Whetcroft,MD,274.67
273,Burwell Stark,VA,591.42
274,Cadwalader Evans,PA,1160.52
275,Caleb Aldrich,RI,6.39
276,Caleb Bull,CT,290.9
277,Caleb Carpenter,RI,1497.52
278,Caleb Dorsey,MD,329.48
279,Caleb Fisk,RI,1541.42
280,Caleb Gardner,RI,2657.67
281,Caleb Trowbridge,CT,480.0
282,Caleb Vaughan,RI,229.69
283,Calvin Selden,CT,2945.43
284,Calvin Spencer,SC,150.0
285,Camp Adams,CT,37.99
286,Cantwell Jones,PA,1418.97
287,Catharine Alexander,SC,86.5
288,Catharine T M Call,VA,5683.52
289,Catherine Carr,NY,88.06
290,Catherine Cox,PA,2931.32
291,Catherine Hasbrook,NY,328.96
292,Catherine Hess,PA,46.53
293,Catherine Kepple,PA,4364.52
294,Catherine Stare,PA,72.35
295,Catherine Witman,PA,10057.86
296,Catherine',PA,128.12
297,Cato Greene,RI,80.0
298,Charity Lushington,SC,16.71
299,Charles Anderson,NY,6572.19
300,Charles Beatty,MD,1205.94
301,Charles Biddle,PA,4380.09
302,Charles Cameron,VA,2140.66
303,Charles Carroll of Carrolton,MD,1670.98
304,Charles Chelton,VA,2400.0
305,Charles Chields,MD,310.77
306,Charles Coteaworth  Pinckney,SC,3903.01
307,Charles Crawford,GA,2.079566
308,Charles Croughton,VA,2914.13
309,Charles Dabney,VA,3595.36
310,Charles Desel,SC,111.69
311,Charles Dickinson,NY,1218.76
312,Charles Dyre,RI,75.0
313,Charles Erskine,VA,35.26
314,Charles Fausett,PA,1389.23
315,Charles Gilchrist,PA,646.08
316,Charles Godfreid,PA,3260.83
317,Charles Handy,RI,1852.84
318,Charles Higbee,VA,4229.29
319,Charles Lining,SC,3658.53
320,Charles Lippitt,RI,3225.83
321,Charles McCubbin,MD,9.73
322,Charles Mortimer,VA,2490.64
323,Charles Olney,RI,385.42
324,Charles Shaw,NY,23050.64
325,Charles Simms,VA,162.56
326,Charles Snowden,GA,41.5622
327,Charles Stockly,VA,393.34
328,Charles Stuart',MD,8121.73
329,Charles Taliaferro,VA,1007.31
330,Charles Wadsworth,CT,1234.4
331,Charles Warham,SC,40.26
332,Charles Wilkes,NY,2546.84
333,Charles Wilstach,PA,62.05
334,Charles Yancey,VA,875.56
335,Chisrtopher Weiser,PA,13.46
336,Chris Burden,RI,63.92
337,Christ Leffingwell,CT,5380.27
338,Christian Derrick,PA,359.8
339,Christian Menthorne,NY,173.25
340,Christiana Daubuz,SC,327.39
341,Christina Grover,PA,71.52
342,Christina Pechin,PA,112.07
343,Christina Ruth,PA,767.44
344,Christopher Brown,RI,5.0
345,Christopher Champlin,RI,164.3
346,Christopher Ellery Transfer,RI,6538.4
347,Christopher Hill transferred from Register,RI,44.69
348,Christopher Lentz,PA,110.9
349,Christopher Lippitt,RI,1793.53
350,Christopher Mason,RI,102.51
351,Christopher Pechin,PA,12395.56
352,Christopher Richmond,MD,2963.21
353,Christopher Smith No 11750,RI,52.8
354,Christopher Toppan,NH,6247.04
355,Christopher White,RI,158.12
356,Clark Register',RI,267.61
357,Clark transferred',RI,495.83
358,Clark',RI,33381.21
359,Clarke Brown,RI,249.2
360,Codrington Carrington,VA,112.58
361,Comfort Eddy transfer from register,RI,66.99
362,Comfort Peck,RI,215.16
363,Comfort Sage,CT,917.11
364,Conrad Doll,MD,360.0
365,Conrad Van,PA,130.83
366,Constant Tabor,RI,949.91
367,Constantia Washington,VA,113.29
368,Corbin Griffin,VA,2016.66
369,Cornelius Comegys,SC,960.93
370,Corporation for the Relief of Poor',PA,29573.76
371,Cristopher Ellery,RI,3966.71
372,Cross',SC,83.33
373,Cyril Carpenter,RI,187.06
374,Dan Boardman',CT,1396.27
375,Dan Hill,CT,315.02
376,Daniel  DeSaussure,SC,1060.85
377,Daniel Badcock,NY,114011.11
378,Daniel Beede,NH,307.76
379,Daniel Boyce,VA,186.27
380,Daniel Boyd,MD,295.55
381,Daniel Braeutigam,PA,1174.61
382,Daniel Burchatt,VA,11.31
383,Daniel C Verplanck,NY,45421.77
384,Daniel Cannon,SC,271.83
385,Daniel Carroll Brent,MD,1551.18
386,Daniel Cornog,PA,2798.17
387,Daniel Cotton,NY,7000.0
388,Daniel Crommelin s,NY,30401.13
389,Daniel Delozier,MD,800.0
390,Daniel Dulany,MD,350.55
391,Daniel Edgerton,CT,300.0
392,Daniel Farnum,NH,233.97
393,Daniel Fisher,VA,377.11
394,Daniel Grattan,SC,169.02
395,Daniel Hall,SC,184.94
396,Daniel Hartung,PA,4660.77
397,Daniel Jenifer,MD,3973.33
398,Daniel Latham,SC,10.44
399,Daniel Lefavour,RI,316.98
400,Daniel Ludlow,NY,40861.74
401,Daniel Lyman,RI,998.2
402,Daniel Manton,RI,49.18
403,Daniel Mazyck,SC,454.56
404,Daniel Paine,CT,833.79
405,Daniel Penfield,NY,42548.32
406,Daniel Pitkin,CT,18.54
407,Daniel Read,RI,18.1
408,Daniel Rhodes,RI,531.95
409,Daniel Skinner,CT,8.59
410,Daniel Smith,SC,954.17
411,Daniel Stilwell,RI,228.53
412,Daniel Sunderlin,RI,8.55
413,Daniel Talcott,CT,193.26
414,Daniel Tefft,RI,11.9
415,Daniel Tillinghast,RI,3865.2
416,Daniel Titus,CT,28.49
417,Daniel Tucker,SC,1974.99
418,Daniel W,PA,269.57
419,Daniel W Cose,GA,16.488599999999998
420,Daniel Wescott,RI,272.7
421,Daniel Whitney,RI,992.13
422,Daniel William Coxe,SC,75.0
423,David Alexander,SC,49.99
424,David Beecher,CT,437.37
425,David Bolles,CT,235.13
426,David Brown,RI,18.33
427,David Cooley,CT,104.06
428,David Durfee,RI,247.46
429,David H Jewett,CT,169.33
430,David Hahn,PA,5.51
431,David Huchinson,PA,317.2
432,David Jackosn,PA,1072.22
433,David Lapsley,PA,2326.62
434,David Lownes,PA,370.32
435,David Lowrey,CT,504.97
436,David Ludlow,PA,8289.17
437,David Martin,RI,1473.52
438,David McCrellis,NH,125.74
439,David Michie,VA,6.29
440,David Poe,MD,1903.92
441,David Stephenson,VA,3450.0
442,Deborah Dunton,RI,30.22
443,Deborah King,RI,3525.48
444,Deborah Paget,RI,702.44
445,Denison Wattles,CT,91.51
446,Dennis Campbell,VA,267.5
447,Derrick De Mott rnelius Williamson,PA,1987.22
448,Doctor George,PA,1417.88
449,Dominick Lynch,NY,11830.45
450,Dorothea Losh,PA,34.81
451,Dorothy Sabin,RI,1062.96
452,Dorothy Sabin Transfer,RI,500.0
453,Doyle Sweeny,PA,415.71
454,Ebenezar Cowell,PA,202.5
455,Ebenezer Allen,RI,246.93
456,Ebenezer Baldwin,NY,681.52
457,Ebenezer Bernard,CT,15.09
458,Ebenezer Fernato,NH,105.88
459,Ebenezer Jackson,GA,5.147966
460,Ebenezer Macnair,SC,20332.239999999998
461,Ebenezer Potter,NH,132.11
462,Ebenezer Thayer,GA,2860.1196
463,Ebenezer Upham,RI,67.74
464,Ebenezer Waters,RI,895.21
465,Edmond Edward,VA,203.33
466,Edmund Fowle,RI,3993.85
467,Edmund Petrie,SC,56.61
468,Edmund Plowden,MD,59.22
469,Edward Allen,NC,62.42
470,Edward Bartholomew,PA,8508.63
471,Edward Blake,SC,4107.74
472,Edward Branch,VA,161.64
473,Edward Burrows,GA,3.5321
474,Edward Carter,VA,716.81
475,Edward Craft,CT,459.42
476,Edward Darrell,SC,953.24
477,Edward Dunscomb,NY,1297.33
478,Edward Hall,MD,40.4
479,Edward Haskell,SC,500.0
480,Edward Ireland,SC,186.5
481,Edward Kain,MD,203.33
482,Edward L Livermore,NH,19.1
483,Edward Lightwood,SC,30.67
484,Edward Lowdes,SC,1000.0
485,Edward Mason,RI,400.86
486,Edward Neufville,SC,72.3
487,Edward North,SC,1326.16
488,Edward Pendleton,VA,312.39
489,Edward Perry,SC,120.8
490,Edward Shippen,PA,1475.64
491,Edward Stevens,VA,89.58
492,Edward Taylor,RI,71.35
493,Edward Trescot,GA,34030.892898000006
494,Edward Tyler,SC,70.83
495,Edward Valentine,VA,1407.08
496,Eleanor Croxall,MD,189.4
497,Eleanor James,PA,728.05
498,Eleanor Walker,MD,35.05
499,Eleanor Young,PA,146.93
500,Eli Bliss,CT,25.06
501,Eliah Dickinson,VA,558.0
502,Elial Williams,CT,87.13
503,Elias Cowles',CT,223.21
504,Elias Hasket Derby,NH,4905.88
505,Elias Parker,VA,169.95
506,Elias Perkins,CT,400.09
507,Eliezer Harding,RI,889.13
508,Elijah Austin,CT,1114.72
509,Elijah Gridley,CT,41.18
510,Elijah Robbins,CT,279.16
511,Elijah Robosson,MD,1133.32
512,Elinor Elzey,MD,2606.5
513,Eliphalet Hull,CT,18.27
514,Eliphalet Slack,RI,240.32
515,Elisha Aldrich transferred from Register,RI,105.57
516,Elisha Brown,RI,662.58
517,Elisha Finney,RI,62.18
518,Elisha Hale,CT,491.39
519,Elisha Harris,RI,63.76
520,Elisha Hart,NY,3647.61
521,Elisha Hinman,CT,916.6
522,Elisha Poinsett,SC,937.26
523,Elisha Pointsed,GA,6.1973
524,Elisha Stoughton,CT,347.0
525,Elisha Waterman,RI,417.1
526,Eliz Weatherly,MD,7.98
527,Eliza Caile,MD,203.07
528,Elizabeth Allen,CT,102.71
529,Elizabeth Bement,CT,15.23
530,Elizabeth Bordley,PA,63.42
531,Elizabeth Chaplin,CT,821.78
532,Elizabeth Chapman,VA,66.66
533,Elizabeth Crawford,PA,2828.23
534,Elizabeth Cuthbert,PA,1054.91
535,Elizabeth Elzey,MD,569.52
536,Elizabeth Folson,NH,465.99
537,Elizabeth Freeborn,RI,600.0
538,Elizabeth Gassaway,MD,23.12
539,Elizabeth Hannah Fryers,RI,369.28
540,Elizabeth Incher,NH,300.0
541,Elizabeth Jane Ravenel,SC,363.66
542,Elizabeth Kintzing,PA,10525.74
543,Elizabeth Mathewson,RI,94.23
544,Elizabeth Neufville,SC,1901.55
545,Elizabeth Parry,PA,1400.0
546,Elizabeth Stearns,CT,495.34
547,Elizabeth Wright,VA,63.23
548,Elizabeth',PA,7098.07
549,Elkenah Humphry,RI,187.02
550,Elnathan Haskell,SC,19350.83
551,Elnathan Tart,NC,687.8
552,Enoch Parsons,CT,314.17
553,Enoch Perkins,CT,54.16
554,Enoch Sprague,RI,7.53
555,Enos Hitchock,RI,3072.91
556,Epentus Olney,RI,385.42
557,Ephraim Bowen,RI,180.37
558,Ephraim Browing,RI,848.98
559,Ephraim Carpenter,RI,88.0
560,Ephraim Parish,CT,6.79
561,Ephraim Wheaten,RI,24.52
562,Erkuries Beatty,PA,2142.08
563,Ernst L,PA,978.91
564,Esq John,PA,18110.51
565,Esther Philips,CT,900.0
566,Esther White,PA,5798.49
567,Ethan Clarke,RI,654.72
568,Evan R,PA,54.44
