,Full Name,state,Total
176,Charles Carroll of Carrolton,MD,1670.98
177,Charles Coteaworth  Pinckney,SC,3903.01
178,Charles Desel,SC,111.69
179,Charles Dyer,RI,75.0
180,Charles Gilchrist,PA,646.08
181,Charles Godfreid,PA,3260.83
182,Charles Handy,RI,1852.84
183,Charles Lining,SC,3658.53
184,Charles Lippitt,RI,3225.83
185,Charles McCubbin,MD,9.73
186,Charles Olney,RI,385.42
187,Charles Sampson,RI,84.43
188,Charles Snowden,SC,41.5622
189,Charles Wadsworth,CT,1234.4
190,Charles Warham,SC,40.26
191,Charles Wilstach,PA,62.05
192,Chris Burden,RI,63.92
193,Christ Leffingwell,CT,1964.15
194,Christian Derrick,PA,359.8
195,Christiana Daubuz,GB,327.39
196,Christina Pechin,PA,112.07
197,Christopher Champlin,RI,164.3
198,Christopher Lentz,PA,110.9
199,Christopher Lippitt,RI,1793.53
200,Christopher Mason,MA,102.51
201,Christopher Richmond,MD,2963.21
202,Christopher Toppan,NH,6247.04
203,Christopher Weiser,PA,13.46
204,Christopher White,RI,158.12
205,Clark Register,RI,213.66
206,Clark register,RI,213.66
207,Clark transferred,RI,495.83
208,Clarke Brown,RI,249.2
209,Comfort Peck,MA,215.16
210,Comfort Sage,CT,917.11
211,Comfrot Clock,CT,1076.4
212,Conrad Doll,MD,360.0
213,Constant Tabor,RI,949.91
214,Cornelius Comegys,PA,960.93
215,Cristopher Ellery,RI,3966.71
216,Cyril Carpenter,RI,187.06
217,Dan Boardman,CT,20.28
218,Dan Hill,CT,315.02
219,Daniel  DeSaussure,SC,1060.85
220,Daniel Beede,NH,307.76
221,Daniel Boyd,MD,295.55
222,Daniel Braeutigam,PA,1174.61
223,Daniel Cannon,SC,271.83
224,Daniel Carroll Brent,VA,1551.18
225,Daniel Cornog,PA,2798.17
226,Daniel Delozier,MD,800.0
227,Daniel Dulany,MD,350.55
228,Daniel Eddy,RI,19.15
229,Daniel Edgerton,CT,300.0
230,Daniel Farnum,NH,233.97
231,Daniel Grattan,SC,169.02
232,Daniel Hall,SC,184.94
233,Daniel Hartung,PA,4660.77
234,Daniel Latham,SC,10.44
235,Daniel Lefavour,RI,316.98
236,Daniel Lyman,RI,998.2
237,Daniel Martin,RI,49.18
238,Daniel Paine,NY,833.79
239,Daniel Penfield,NY,61.63
240,Daniel Pitkin,CT,18.54
241,Daniel Read,MA,18.1
242,Daniel Rhodes,RI,476.97
243,Daniel Skinner,CT,8.59
244,Daniel Smith,SC,954.17
245,Daniel Stilwell,RI,228.53
246,Daniel Sunderlin,RI,8.55
247,Daniel Talcott,CT,193.26
248,Daniel Tefft,RI,11.9
249,Daniel Tillinghast,RI,3865.2
250,Daniel Titus,CT,28.49
251,Daniel Tucker,SC,1974.99
252,Daniel W,PA,269.57
253,Daniel W Cose,PA,16.488599999999998
254,Daniel Wescott,RI,272.7
255,Daniel Whitney,RI,992.13
256,David Alexander,SC,49.99
257,David Beecher,CT,437.37
258,David Bolles,CT,235.13
259,David Cooley,CT,104.06
260,David H Jewett,CT,169.33
261,David Hahn,PA,5.51
262,David Huchinson,PA,317.2
263,David L Barnes,RI,186.75
264,David Lapsley,PA,2326.62
265,David Lowrey,CT,504.97
266,David Martin,RI,1473.52
267,David McCrellis,NH,125.74
268,Deborah Dunton,RI,30.22
269,Deborah King,RI,3525.48
270,Deborah Paget,RI,702.44
271,Deborah Wharton,PA,1000.0
272,Denison Wattles,CT,91.51
273,Derrick De Mott rnelius Williamson,NJ,1987.22
274,Doct Jun William,PA,2241.36
275,Dorothea Losh,PA,34.81
276,Dorothy Sabin,RI,1062.96
277,Doyle Sweeny,PA,415.71
278,E Boardman,CT,20.28
279,Ebenezar Cowell,PA,202.5
280,Ebenezer Bernard,CT,15.09
281,Ebenezer Fernato,MA,105.88
282,Ebenezer Jackson,GA,5.147966
283,Ebenezer Macnair,VA,99.99
284,Ebenezer Potter,NH,132.11
285,Ebenezer Thayer,SC,1430.0598
286,Ebenezer Waters,MA,895.21
287,Edmund Plowden,MD,59.22
288,Edward Bartholomew,PA,8508.63
289,Edward Blake,SC,4107.74
290,Edward Burrows,PA,3.5321
291,Edward Craft,CT,459.42
292,Edward Darrell,SC,953.24
293,Edward Hall,MD,40.4
294,Edward Haskell,SC,500.0
295,Edward Ireland,MD,186.5
296,Edward Kain,MD,203.33
297,Edward L Livermore,NH,19.1
298,Edward Lightwood,SC,30.67
299,Edward Lowdes,SC,1000.0
300,Edward Neufville,SC,72.3
301,Edward North,SC,1326.16
302,Edward Perry,SC,120.8
303,Edward Shippen,PA,1475.64
304,Edward Taylor,RI,71.35
305,Edward Trescot,SC,8668.630965999999
306,Edwrad Harris,MD,331.31
307,Eleanor Croxall,MD,189.4
308,Eleanor Young,PA,146.93
309,Eli Bliss,CT,25.06
310,Elial Williams,CT,87.13
311,Elias Cowles,CT,223.21
312,Elias Hasket Derby,NH,4905.88
313,Elias Peek,CT,158.82
314,Elias Perkins,CT,400.09
315,Elijah Austin,CT,1114.72
316,Elijah Gridley,CT,41.18
317,Elijah Robbins,CT,279.16
318,Elijah Robosson,MD,1133.32
319,Eliphalet Hull,CT,18.27
320,Eliphalet Slack,MA,240.32
321,Elisha Brown,RI,662.58
322,Elisha Finney,RI,62.18
323,Elisha Hale,CT,491.39
324,Elisha Harris,RI,63.76
325,Elisha Hinman,CT,916.6
326,Elisha Poinsett,SC,937.26
327,Elisha Pointsed,SC,6.1973
328,Elisha Stoughton,CT,347.0
329,Elisha Waterman,RI,417.1
330,Eliz Weatherly,MD,7.98
331,Eliza Caile,MD,203.07
332,Elizabeth Allen,CT,102.71
333,Elizabeth Bement,CT,15.23
334,Elizabeth Bordley,MD,63.42
335,Elizabeth Brown,RI,2177.59
336,Elizabeth Chaplin,CT,821.78
337,Elizabeth Crawford,PA,2828.23
338,Elizabeth Folson,NH,465.99
339,Elizabeth Freeborn,RI,600.0
340,Elizabeth Gassaway,MD,23.12
341,Elizabeth Hannah Fryers,RI,369.28
342,Elizabeth Incher,MA,300.0
343,Elizabeth Kintzing,PA,10525.74
344,Elizabeth Mathewson,RI,94.23
345,Elizabeth Neufville,SC,1901.55
346,Elizabeth Parry,PA,1400.0
347,Elizabeth Stearns,CT,495.34
348,Elkanah Humphry,RI,187.02
349,Elnathan Haskell,SC,19350.83
350,Elnathan Keyes,CT,266.67
351,Elnathan Tart,NC,687.8
352,Enoch Parsons,CT,314.17
353,Enoch Perkins,CT,54.16
354,Enoch Sprague,RI,7.53
355,Enos Hitchock,RI,3072.91
356,Epentus Olney,RI,385.42
357,Ephraim Bowen,RI,180.37
358,Ephraim Browing,RI,848.98
359,Ephraim Carpenter,RI,88.0
360,Ephraim Parish,CT,6.79
361,Ephraim Wheaten,RI,24.52
362,Ernst L,PA,978.91
363,Esq John,PA,1739.43
364,Esther Philips,CT,900.0
365,Esther White,PA,5798.49
366,Ethan Clarke,RI,654.72
367,Ezekiel Cowles,CT,26.01
368,Ezekiel Whipple,RI,124.74
369,Ezra Dean,RI,551.96
370,F C H B Poellnitz,SC,6595.59
371,Fairfield 1st Society School,CT,155.49
372,Felix Warley,SC,4645.89
373,Florian Charles Mey,SC,580.92
374,Floride Peyre,VI,94.56
375,Francis Baird,PA,173.91
376,Francis C Dyer,MD,332.5
377,Francis Clifton,PA,792.5
378,Francis Hiam,PA,503.1
379,Francis Ingraham,PA,6210.3
380,Francis Maiziere,SC,75.0
381,Frantz Jacob Foltz,SC,1656.07
382,Franz Jacob Follz,SC,38.149
383,Frederick Grammer,MD,327.65
384,Frederick Green,MD,79.96
385,Frederick Kohne,SC,411.43
386,Fredrick Grammar,MD,6685.54
387,Gabriel Duvall,MD,36.92
388,Gardner William Mumford,RI,600.13
389,Garrett Cottringer,PA,553.33
390,Gassway Watkins,MD,6518.790000000001
391,Geo Gibbs,RI,2120.15
392,George Bickham,PA,10977.82
393,George Browning,NJ,1657.18
